Juhtumi nr;Toimumisaeg;Isikuid;Hukkunuid;Sõidukeid;Vigastatuid;Aadress;Tänav;Maja nr;Ristuv tänav;Tee nr;Tee km;Maakond;Omavalitsus;Asutusüksus;Asula;Liiklusõnnetuse liik;Liiklusõnnetuse liik (detailne);Joobes mootorsõidukijuhi osalusel;Kergliikurijuhi osalusel;Jalakäija osalusel;Kaassõitja osalusel;Maastikusõiduki juhi osalusel;Eaka (65+) mootorsõidukijuhi osalusel;Bussijuhi osalusel;Veoautojuhi osalusel;Ühissõidukijuhi osalusel;Sõiduautojuhi osalusel;Mootorratturi osalusel;Mopeedijuhi osalusel;Jalgratturi osalusel;Alaealise osalusel;Esmase juhiloa omaniku osalusel;Turvavarustust mitte kasutanud isiku osalusel;Mootorsõidukijuhi osalusel;Tüüpskeemi nr;Tüüpskeem;Tee tüüp;Tee tüüp (detailne);Tee liik;Tee element;Tee element (detailne);Tee objekt;Kurvilisus;Tee tasasus;Tee seisund;Teekate;Teekatte seisund;Sõiduradade arv;Lubatud sõidukiirus;Ilmastik;Valgustus;Valgustus (detailne);X koordinaat;Y koordinaat
2302110069111;2011-03-23 19:00:00;2;0;1;1; Harju maakond Tallinn Põhja-Tallinna linnaosa Sepa tn;Sepa tn;;;;;Harju maakond;Tallinn;Põhja-Tallinna linnaosa;JAH;Ühesõidukiõnnetus;Kokkupõrge teel oleva takistusega;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;117;Sõiduki konflikt teetöölis(t)ega.;KOV tee/tänav;Tänav;;Erielemendita teelõik;Erielemendita teelõik;Rajatis puudub;Sirge tee;Tasane tee;Sõidutee on ebatasane;Püsikate;Kuiv;;30;Selged olud;Valge aeg;Valge aeg;;
3100190537537;2019-09-09 18:15:00;2;0;2;1; Harju maakond Jõelähtme vald  ;RUU - IHASALU;;;11262;4.595;Harju maakond;Jõelähtme vald;Jõesuu küla;EI;Kokkupõrge;Kokkupõrge sõidukiga küljelt;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;502;Ristmiku peateel otse sõitva sõiduki konflikt paremalt poolt kõrvalteelt tuleva sõidukiga.;Riigitee;Kõrvalmaantee;Kõrvalmaantee;Erielemendita teelõik;Erielemendita teelõik;Rajatis puudub;Sirge tee;Tasane tee;Sõidutee on korras;Püsikate;Kuiv;2;70;Selged olud;Valge aeg;Valge aeg;6594053.96;565597.65
3120160082225;2016-09-25 14:58:00;2;0;2;1; Tartu maakond VANA Tartu vald  ;JÕHVI - TARTU - VALGA;;;3;124.956;Tartu maakond;Tartu vald;Kõrveküla alevik;EI;Kokkupõrge;Kokkupõrge ees liikuva sõidukiga;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;401;Konflikt samas suunas otse sõitvate sõidukite vahel teelõigul või ristmiku peateel.;Riigitee;Põhimaantee;Põhimaantee;Erielemendita teelõik;Erielemendita teelõik;Rajatis puudub;Sirge tee;Kerge langus;Sõidutee on korras;Püsikate;Kuiv;2;90;Selged olud;Valge aeg;Valge aeg;6479645.27;662530.53
2402130040217;2013-05-15 13:00:00;2;0;2;1; Ida-Viru maakond VANA Narva linn  Kadastiku tn;Kadastiku tn;;1. Paemurru tn;;;Ida-Viru maakond;Narva linn;Narva linn;JAH;Kokkupõrge;Kokkupõrge vastutuleva sõidukiga;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;601;Konflikt vastassuundadest otse sõitvate sõidukite vahel teelõigul või ristmiku peateel.;KOV tee/tänav;Tänav;Muu tee;Erielemendita teelõik;Erielemendita teelõik;Rajatis puudub;Sirge tee;Tasane tee;Sõidutee on korras;Püsikate;Kuiv;;50;Selged olud;Valge aeg;Valge aeg;6588149.0;734366.0
