"Accident_Index","Age_Band_of_Driver","Age_of_Vehicle","Driver_Home_Area_Type","Driver_IMD_Decile","Engine_Capacity_.CC.","Hit_Object_in_Carriageway","Hit_Object_off_Carriageway","Journey_Purpose_of_Driver","Junction_Location","make","model","Propulsion_Code","Sex_of_Driver","Skidding_and_Overturning","Towing_and_Articulation","Vehicle_Leaving_Carriageway","Vehicle_Location.Restricted_Lane","Vehicle_Manoeuvre","Vehicle_Reference","Vehicle_Type","Was_Vehicle_Left_Hand_Drive","X1st_Point_of_Impact","Year"
"200401BS00001","26 - 35",3,"Urban area","4",1588,"None","None","Data missing or out of range","Data missing or out of range","ROVER","45 CLASSIC 16V","Petrol","Male","None","No tow/articulation","Did not leave carriageway","0","Going ahead other","2","109","Data missing or out of range","Front",2004
"200401BS00002","26 - 35",NA,"Urban area","3",NA,"None","None","Data missing or out of range","Data missing or out of range","BMW","C1",NA,"Male","None","No tow/articulation","Did not leave carriageway","0","Going ahead other","1","109","Data missing or out of range","Front",2004
"200401BS00003","26 - 35",4,"Data missing or out of range",NA,998,"None","None","Data missing or out of range","Data missing or out of range","NISSAN","MICRA CELEBRATION 16V","Petrol","Male","None","No tow/articulation","Did not leave carriageway","0","Turning right","1","109","Data missing or out of range","Front",2004
"200401BS00003","66 - 75",NA,"Data missing or out of range",NA,NA,"None","None","Data missing or out of range","Data missing or out of range","LONDON TAXIS INT","TXII GOLD AUTO",NA,"Male","None","No tow/articulation","Did not leave carriageway","0","Going ahead other","2","109","Data missing or out of range","Front",2004
